file, real_x, real_y, real_z, detected_x, detected_y, detected_z
278.jpg,300,100,27,12.623639889776308,44.85759005931305,341.87551511816986
279.jpg,300,100,27,12.623639889776308,44.85759005931305,341.87551511816986
398.jpg,100,-200,100,176.41131709088535,-168.94732302812628,383.31906275996386
399.jpg,100,-200,100,176.41131709088535,-168.94732302812628,383.31906275996386
408.jpg,200,-200,100,93.25427978786412,-178.39989983316215,437.7263956410273
409.jpg,200,-200,100,93.25427978786412,-178.39989983316215,437.7263956410273
414.jpg,300,-200,100,10.244338065793054,-189.39203414288912,490.2629261196154
415.jpg,300,-200,100,10.169372223214625,-190.19915305892806,492.4729609202097
416.jpg,300,-200,100,10.169372223214625,-190.19915305892806,492.4729609202097
418.jpg,300,-200,100,8.488306385454214,-188.72850082042297,488.71194823957075
419.jpg,300,-200,100,8.488306385454214,-188.72850082042297,488.71194823957075
473.jpg,200,-100,100,95.19320543061224,-136.42173074301633,402.62736180122147
474.jpg,200,-100,100,95.19320543061224,-136.42173074301633,402.62736180122147
478.jpg,200,-100,100,91.27255128885376,-134.4278420587738,401.1351368728628
479.jpg,200,-100,100,92.9922828038958,-137.81151862616383,412.49111489794365
480.jpg,300,-100,100,3.257126997335144,-149.76657766615574,464.0146901083787
481.jpg,300,-100,100,3.257126997335144,-149.76657766615574,464.0146901083787
482.jpg,300,-100,100,3.4168368186240867,-145.98200243563426,452.25114841405775
483.jpg,300,-100,100,3.4168368186240867,-145.98200243563426,452.25114841405775
485.jpg,300,-100,100,3.2760710198225524,-144.74803252997305,449.59033377474753
486.jpg,300,-100,100,2.7953454869012733,-144.75175396718942,450.46408925945474
487.jpg,300,-100,100,1.6221135205637152,-147.70250665964502,458.75785406696065
488.jpg,300,-100,100,-0.38686071460473315,-152.60927067495996,475.6990103326927
489.jpg,300,-100,100,-2.1736854729025676,-151.54345863538302,472.509230959517
546.jpg,200,0,100,98.41092586696932,-79.65087474114307,336.1906289754582
547.jpg,200,0,100,98.41092586696932,-79.65087474114307,336.1906289754582
548.jpg,200,0,100,97.69235892834011,-79.43280168323933,337.18400294153577
549.jpg,200,0,100,97.69235892834011,-79.43280168323933,337.18400294153577
550.jpg,300,0,100,4.93701795207449,-94.47452047651115,395.8023919179006
551.jpg,300,0,100,4.715184876881846,-94.0799601471581,395.10435214330926
552.jpg,300,0,100,4.258422047148586,-93.66327419084614,395.72354969902887
553.jpg,300,0,100,4.258422047148586,-93.66327419084614,395.72354969902887
554.jpg,300,0,100,3.216414783320014,-93.69754752028173,395.8879990487725
555.jpg,300,0,100,1.6076495083389786,-93.71066221193207,396.37637873206177
556.jpg,300,0,100,1.6076495083389786,-93.71066221193207,396.37637873206177
557.jpg,300,0,100,1.7759718230736734,-95.09944527954994,406.6752907537645
558.jpg,300,0,100,0.8904188230332251,-93.7019914076852,401.6688095058243
559.jpg,300,0,100,-0.8511387843070988,-94.67195039000943,407.13538665463216
617.jpg,200,100,100,102.16494841024462,-25.941918151698346,279.9258656580615
618.jpg,200,100,100,102.16494841024462,-25.941918151698346,279.9258656580615
619.jpg,200,100,100,95.6072923229169,-23.886818447980176,264.6339272413542
628.jpg,300,100,100,10.750013740002121,-29.804442668500737,318.28864322640294
629.jpg,300,100,100,10.750013740002121,-29.804442668500737,318.28864322640294
682.jpg,200,200,100,96.98745668978545,33.410444185304364,195.29568442325208
683.jpg,200,200,100,97.03623548735001,33.29594911021395,194.5623909391914
684.jpg,200,200,100,97.03623548735001,33.29594911021395,194.5623909391914
685.jpg,200,200,100,97.76739458404495,33.3478717161375,195.4869957001518
686.jpg,200,200,100,97.76739458404495,33.3478717161375,195.4869957001518
687.jpg,200,200,100,97.55504058854854,33.31694440941221,195.3350678086143
688.jpg,200,200,100,93.1685804038945,32.594181117234875,189.46012280163492
689.jpg,200,200,100,93.1685804038945,32.594181117234875,189.46012280163492
690.jpg,300,200,100,3.272011732782624,36.29525307344064,226.2894938361712
691.jpg,300,200,100,2.425032505351152,36.516275883915156,223.87866641238375
692.jpg,300,200,100,2.2017633585944982,36.57279259372167,224.97634684554595
693.jpg,300,200,100,1.9867383100743026,37.09246503005526,227.4143952427379
694.jpg,300,200,100,1.9867383100743026,37.09246503005526,227.4143952427379
695.jpg,300,200,100,1.9600661936638484,36.29663601974668,224.02426414901078
696.jpg,300,200,100,1.7566517744129062,36.89869591268198,228.502860475015
697.jpg,300,200,100,1.7566517744129062,36.89869591268198,228.502860475015
698.jpg,300,200,100,1.7566517744129062,36.89869591268198,228.502860475015
699.jpg,300,200,100,1.7566517744129062,36.89869591268198,228.502860475015
960.jpg,200,100,200,87.30224290712164,-84.69895786116716,181.80749124346633
961.jpg,200,100,200,87.30224290712164,-84.69895786116716,181.80749124346633
962.jpg,200,100,200,86.20819884419593,-83.62566447312656,180.44452752348602
963.jpg,200,100,200,86.6526696379469,-84.2744162896254,181.60787523486036
967.jpg,200,100,200,83.24843233169925,-81.42677529102694,177.87588128685198
968.jpg,200,100,200,81.14268971344914,-79.96369211506246,175.55587914018884
969.jpg,200,100,200,80.8649814136739,-80.52920933533659,176.48631351790726
970.jpg,300,100,200,14.546665688502914,-92.64569655176462,225.5878213914785
971.jpg,300,100,200,14.061954968615156,-92.23604239833833,226.04198384920937
972.jpg,300,100,200,13.045573595623196,-91.56806387857601,223.39876438009085
973.jpg,300,100,200,13.045573595623196,-91.56806387857601,223.39876438009085
974.jpg,300,100,200,12.324343503120947,-92.27199857743973,226.2294641152373
975.jpg,300,100,200,12.233346766995204,-92.3067099254231,227.049542180804
976.jpg,300,100,200,11.876633681795504,-91.35423180127103,225.07064646768956
